,臺北市_租金,臺中市_租金,基隆市_租金,臺南市_租金,高雄市_租金,新北市_租金,宜蘭縣_租金,桃園市_租金,嘉義市_租金,新竹縣_租金,苗栗縣_租金,南投縣_租金,彰化縣_租金,新竹市_租金,雲林縣_租金,嘉義縣_租金,屏東縣_租金,花蓮縣_租金,臺東縣_租金,金門_租金,澎湖縣_租金
0,1585,702,1534,588,693,883,586,678,379,597,400,348,741,745,246,279,476,393,628,790,429
1,1536,708,735,558,660,887,520,605,487,592,460,431,639,758,283,262,435,440,707,790,429
2,1593,714,1055,582,668,819,602,609,470,618,616,523,524,658,221,304,434,481,615,790,429
3,1591,729,1275,624,683,878,584,567,403,630,512,515,400,653,697,390,655,459,330,558,429
4,1484,758,635,589,695,819,508,609,594,551,314,388,794,622,697,352,551,480,390,558,440
5,1585,746,953,632,739,858,648,602,621,609,525,463,509,646,340,311,839,432,508,445,642
6,1509,706,735,635,719,871,549,588,690,663,1074,591,643,699,765,296,467,506,320,445,642
7,1495,794,633,617,749,916,632,580,496,560,443,348,619,631,666,385,459,456,743,445,642
8,1509,748,651,630,768,769,659,551,606,580,846,405,771,785,715,336,486,531,820,445,642
9,1576,757,1458,657,676,851,650,568,497,556,410,700,627,749,391,360,720,481,668,968,642
10,1578,759,621,593,706,805,654,602,458,662,389,451,664,692,1286,401,541,478,584,968,642
11,1560,745,954,616,669,809,624,591,453,551,490,489,881,861,874,269,557,521,525,968,383
12,1532,682,659,596,666,791,680,610,585,630,488,374,646,803,649,318,585,628,339,968,1345
13,1554,769,1144,585,682,822,612,542,582,706,407,430,472,639,801,310,494,569,596,968,1345
14,1501,756,569,582,704,881,608,547,558,724,447,397,571,680,539,470,623,602,397,968,1345
15,1498,755,750,621,690,880,654,555,661,663,872,539,675,732,795,477,525,538,539,663,502
16,1537,727,591,561,692,881,850,528,661,685,390,620,630,618,330,303,429,525,640,434,317
17,1513,762,673,545,693,838,645,512,565,693,404,474,419,647,309,699,399,657,706,1725,317
18,1470,759,546,603,700,837,650,564,536,683,521,497,685,613,641,384,510,610,686,335,317
19,1483,747,457,628,667,866,548,550,506,700,433,588,596,655,557,288,598,591,529,409,317
20,1525,769,548,602,686,880,589,569,523,670,588,719,592,608,781,343,582,684,644,409,396
21,1528,787,480,598,692,812,686,540,588,533,630,446,534,629,832,335,542,769,818,409,413
22,1486,710,446,600,629,832,535,537,466,710,511,404,532,615,490,474,532,760,659,409,413
23,1458,686,523,652,686,841,537,544,479,717,480,500,568,652,677,380,527,637,574,444,437
24,1478,704,530,639,650,833,594,552,495,718,504,538,563,667,584,555,524,619,439,444,437
25,1488,720,486,685,687,861,477,549,470,704,665,612,764,679,569,504,503,654,641,450,277
26,1576,693,426,649,680,849,515,572,505,829,688,436,650,812,271,525,625,548,636,472,454
27,1476,716,504,676,679,847,534,559,640,743,592,627,704,677,820,468,551,777,957,652,72
28,1505,715,486,675,701,822,531,555,596,717,629,581,628,722,689,447,595,633,788,433,72
29,1550,780,507,699,732,859,509,579,652,728,753,650,660,720,736,458,564,628,711,604,298
30,1593,763,532,714,720,870,506,566,620,835,775,596,692,757,869,436,563,648,724,3229,819
31,1604,767,504,692,703,917,510,601,532,942,585,407,683,817,795,449,518,729,646,458,1143
32,1625,798,520,674,724,966,540,654,529,850,540,416,616,892,655,456,518,740,624,263,1309
33,1570,814,521,680,734,939,589,688,542,784,639,441,651,901,712,521,469,728,797,263,1142
34,1658,797,502,735,759,906,552,659,614,941,563,573,655,848,774,541,561,718,690,263,1036
35,1632,838,524,742,747,989,581,688,637,1072,660,514,685,924,739,617,564,724,666,263,1132
36,1706,809,495,746,740,945,541,683,625,962,580,513,618,901,797,683,639,737,666,263,791
37,1777,838,522,781,762,958,555,686,633,1008,741,535,601,1035,893,709,538,761,666,263,1095
